sample-id
6778-10-1G_S18
6778-10-3G_S19
6778-12-2G_S20
6778-14-1G_S21
6778-14-3G_S22
6778-15-1G_S23
6778-16-1G_S24
6778-16-2G_S25
6778-17-2G_S26
6778-170-1_S4
6778-170-3_S5
6778-171-1_S6
6778-171-2_S7
6778-174-2_S8
6778-190-3_S9
6778-192-2_S10
6778-193-1_S11
6778-193-2_S12
6778-20-1G_S27
6778-20-2G_S28
6778-21-1G_S29
6778-23-1_S1
6778-25-1G_S30
6778-27-1G_S31
6778-27-2G_S32
6778-29-2G_S33
6778-29-3G_S34
6778-34-2G_S37
6778-34-3G_S38
6778-40-1G_S39
6778-40-3G_S40
6778-47-1G_S41
6778-47-2G_S42
6778-59-1_S43
6778-59-2_S44
6778-59-3_S45
6778-6-3G_S13
6778-60-1_S46
6778-61-2_S2
6778-7-2G_S14
6778-7-3G_S15
6778-8-2G_S16
6778-8-3G_S17
6778-81-2_S3
6778-87-3_S47
6778-M1-1_S35
6778-M1-2_S36
6778-N1_S48
